,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,Balanço da Semana: Cidades+Verdes CAU / Cadastro Ambiental Rural Audiência Pública  Combate às Queimadas no Pantanal https://t.co/KLfpRsMOs5,140,1309680288965025793,2020-09-26 02:24:48,Twitter for iPhone,7083,1368,"São Paulo, Brasil",,
1,"Mesmo com os focos de incêndio que acometem o Pantanal e outros biomas brasileiros, a área queimada em todo o território nacional é a menor dos últimos 18 anos. Dados do @inpe_mct revelam que 2007 foi o ano em que o Brasil mais sofreu com as queimadas. https://t.co/3CMD2YZdA4",276,1309870492174745601,2020-09-26 15:00:36,Twitter Web App,2917,805,,,
2,"As queimadas não são novidade. Felizmente, a situação recente é MUITO melhor do que já foi. Os fatos evidenciam que toda a histeria em torno da questão ambiental não passa de narrativa mentirosa, criada para desgastar o Governo do Brasil e seus representantes. https://t.co/BaXcPtHuSI",284,1309633736909230086,2020-09-25 23:19:49,Twitter Web App,2424,734,,,
3,Imagine só você fazer parte de um grupo de Facebook ou WhatsApp e quando alguém manda uma foto mostrando a floresta pegando fogo ou um animal morto pelas queimadas você imediatamente considera ele um inimigo “comunista”... significa que você se tornou um monstro e não percebeu...,280,1309462619594600449,2020-09-25 11:59:51,Twitter for iPhone,3451,424,"Sao Paulo, Brazil",,
4,"F. Recursos para o enfrentamento às chamas do Pantanal: @mdregional_br destina R$ 13,9 milhões para combate às queimadas: aquisição de equipamentos, locação de veículos, maquinários e aeronaves. Realização de 32 ações no Mato Grosso e 37 no Mato Grosso do Sul. @rogeriosmarinho https://t.co/3StPW7k1ay",301,1309445792969699328,2020-09-25 10:53:00,Twitter for iPhone,5793,1297,"Brasília, Brasil",,
5,“Índios e caboclos?” PF já tem provas para indiciar fazendeiros de MS por queimadas no Pantanal - 25/09/2020 - UOL Notícias https://t.co/7f0BEu19cf @UOLNoticias #UOL,165,1309466879661150208,2020-09-25 12:16:47,Twitter for iPhone,814,267,"São Paulo, Brasil",,
6,Informações sobre as queimadas. Compartilhe para que mais pessoas se informem da maneira correta! https://t.co/5Lv5rHoece,121,1309496416377634817,2020-09-25 14:14:09,Twitter for Android,781,266,"São Paulo, Brasil",,
7,"O gov reduziu as verbas p/ brigadas de incêndio florestal em 58% em 1 ano. De R$23,78 mi em 2019 p/ R$9,99 mi em 2020.  Das verbas p/ combater e fiscalizar queimadas, o gov usou apenas 36% este ano. Dos R$173,8 mi liberados, foram utilizados R$61,8 mi.  Agr clamam p/ São Pedro 🤡",279,1309886128254783490,2020-09-26 16:02:44,Twitter for Android,1549,375,Brasil,,
8,"Não há país que preserve como o Brasil! Além da liberação de R$ 13,9 milhões para o enfrentamento às queimadas no Pantanal, o Governo Federal investe em uma série de programas voltados à preservação e proteção do meio ambiente. https://t.co/SSae4uF3Uq",251,1309844066155323395,2020-09-26 13:15:35,Twitter Web App,676,190,,,
9,"Meu agradecimento para a equipe  de brigadistas de MG, além de outras equipe de outras partes do Brasil, que vieram nos ajudar nesse combate às queimadas no Pantanal! https://t.co/aTbwRO8G33",190,1309278892390309890,2020-09-24 23:49:47,Twitter for iPhone,7037,1287,"São Paulo, Brasil",,
10,"'Eu vi a face do horror', diz fotógrafo Araquém Alcântara, que retrata a natureza brasileira há mais de 50 anos, sobre queimadas no Pantanal https://t.co/K5zpGWAlvD #G1 https://t.co/HyMtukwtTZ",192,1309875374549950464,2020-09-26 15:20:00,TweetDeck,1323,179,Brasil,,
11,PF já tem provas para indiciar fazendeiros de MS por queimadas no Pantanal  Ao menos quatro fazendeiros da região da Serra do Amolar podem ser indiciados https://t.co/pgBjBd9Jxh via @UOLNoticias @UOL,199,1309439496627408897,2020-09-25 10:27:58,Twitter Web App,736,165,,,
12,O Pantanal sofre com o maior número de queimadas da história. Essa tragédia não tem origem natural nem os povos indígenas são responsáveis. Só um presidente estelionatário e mentiroso compulsivo é capaz de falar esses absurdos!  https://t.co/4AQuPRqQ80,252,1309873659725705222,2020-09-26 15:13:11,Twitter Web App,1028,204,"Fortaleza, Brasil",,
13,"E agora? Via Terra Brasil. Segundo reportagem do portal, dado revela que o número de queimadas em todo país esse ano é cinco vezes menor do que em 2007. https://t.co/7cN4D01NkK",176,1309879017840037888,2020-09-26 15:34:28,Twitter for Android,562,164,"São Paulo, Brasil",,
14,"Fogo que destruiu 25 mil hectares no #Pantanal de MS começou em grandes fazendas, para transformar mata em pastagem,  aponta PF. Advogado diz que um dos fazendeiros colabora com as investigações 'pois é uma das vítimas das queimadas' #AjudaPantanal  https://t.co/J3okg9hSCp https://t.co/Euo2P41Gnn",297,1309454547866267648,2020-09-25 11:27:47,Twitter for Android,507,215,RJ/MG,,
15,"Por trás das queimadas estão o garimpo e o agro-negócio, ambos apoiados e protegidos pelo Bolsonaro !",101,1309277033718050817,2020-09-24 23:42:24,Twitter Web App,475,98,Porto Alegre,,
16,"#OperaçãoPantanal Entre ontem e hoje (24), em apoio às ações de combate aos focos de queimadas no bioma Pantanal, a Marinha, por meio da aeronave Super Cougar, realizou infiltração de brigadistas do @ICMBio na reserva Taiamã, em Mato Grosso. https://t.co/u4vuLn6gaY",265,1309251087283687426,2020-09-24 21:59:18,Twitter for iPhone,589,84,Brasil,,
17,"CONVOCAÇÃO - O ministro Salles será convocado para explicar a falta de ação do governo no combate às queimadas. ""Ele sobrevoou o Pantanal em chamas e não fez absolutamente nada, não colocou nada a disposição”, criticou a dep. @prof_rosaneide.  Leia mais: https://t.co/lQW8jCIWKt https://t.co/jKZQ80Ml0N",302,1309250137869488133,2020-09-24 21:55:32,Twitter Web App,78,37,Brasília-DF-Brasil,,
18,DOAÇÕES PARA OS POVOS INDÍGENAS ATINGIDOS PELAS QUEIMADAS NO PANTANAL DE MATO GROSSO (MT)  Caixa Econômica Federal Agência: 0016 Op: 013 - Conta Poupança Conta: 00082342-1  Favorecido: Federação dos Povos e Organizações Indígenas de Mato Grosso  CNPJ: 32.678.220/0001-65  +++,275,1307500501743865856,2020-09-20 02:03:06,Twitter for iPhone,4257,3616,,,
19,"⚠️ Nessa sexta (25), vai ter ato mundial em defesa do meio ambiente e contra as queimadas criminosas no nosso país. Em São Paulo, a manifestação será em frente à sede do Ibama. Muito importante a mobilização para denunciar os crimes de Salles e Bolsonaro. #ChegaDeQueimadas https://t.co/OcJ1K5PuW6",297,1309267848422973443,2020-09-24 23:05:54,Twitter for Android,133,31,São Paulo,,
20,"Em relação ao ano passado, são 507 brigadistas a mais, que estão participando de ações conjuntas com órgãos estaduais, Forças Armadas e outras brigadas no combate às queimadas no Pantanal.  Fonte: Ministério do Meio Ambiente",224,1309231285563461633,2020-09-24 20:40:37,Twitter Web App,178,45,,,
21,#Fantástico teve acesso aos detalhes do inquérito que investiga a origem de focos de queimadas no Pantanal. Imagens de satélite mostraram o caminho do fogo e a Polícia Federal suspeita da ação criminosa de criadores de gado da região: https://t.co/Kg1S5g2kq1,258,1307827521514278920,2020-09-20 23:42:34,TweetDeck,2266,602,Brasil,,
22,Lewis Hamilton protagoniza vídeo que denuncia queimadas na Amazônia para o mundo | Revista Fórum https://t.co/LLquSotMy0,120,1306802794528215040,2020-09-18 03:50:40,Twitter for iPhone,3590,805,,,
23,"Estados Unidos, Australia, Argentina, Ártico, Pantanal, Siberia...incêndios florestais ocorrendo no mundo todo. Total empenho do Governo Federal no combate às queimadas: assistência às pessoas e aos animais. Centenas de brigadistas, aviões, helicópteros e recursos empregados. https://t.co/m6ogWLJOgg",300,1307109601100341248,2020-09-19 00:09:48,Twitter for iPhone,10794,2451,"São Paulo, Brasil",,
24,"O avião de Bolsonaro teve que arremeter por causa da fumaça de queimadas no Pantanal um dia depois dele dizer que o Brasil está de parabéns na preservação ambiental.  Bolsonaro pode fingir que não ouve, mas a natureza segue gritando.",233,1307038033473142785,2020-09-18 19:25:25,Twitter Web App,6686,1172,,,
25,Discurso de Bolsonaro na ONU: as versões e os fatos   ✔️”Os focos criminosos (de queimadas) são combatidos com rigor e determinação” 👇🏼  (Presidente jamais cobrou a punição dos responsáveis pelo “Dia do Fogo” no Pará e desmobilizou aparato de prevenção e combate ao fogo)  ⬇️ https://t.co/kiGy7NY0Ak,299,1308417043977437184,2020-09-22 14:45:07,Twitter for iPhone,7002,1680,"Rio de Janeiro, Brasil",,
26,"Racismo é estarmos em 2020 com negros, indígenas, ciganos entre outros vivendo à margem. Racismo é ministra dos direitos humanos pedindo que seja vetado acesso à água potável e UTI para indígenas na pandemia. Racismo é comunidades tradicionais serem afetadas pelas queimadas.",275,1307390019909423112,2020-09-19 18:44:05,Twitter for iPhone,5099,1381,,,
27,O avião de Bolsonaro arremeteu hoje no Mato Grosso por causa da fumaça das queimadas no Pantanal. Ele foi ao estado para compromissos com o agronegócio. Considera que os incêndios são normais. Parece que a natureza não concorda e deu um jeito de mostrar isso.,259,1307013569922445314,2020-09-18 17:48:12,Twitter for Android,9542,1177,,,
28,Avião de Bolsonaro é obrigado a arremeter por causa de queimadas em MT https://t.co/rGLl64vQaN #G1 https://t.co/w3IXL1MwV4,122,1306971621039710208,2020-09-18 15:01:31,TweetDeck,21335,2040,Brasil,,
29,"Resumo do discurso de Bolsonaro na ONU:  - Auxílio Emergencial teve parcelas de 1000 dólares  - Quem promove queimadas são ""índios e caboclos""  - Combate à ""cristofobia"" é prioridade  - Puxa-saco de Trump pelos acordos pró-Israel  O sujeito é uma fábrica de fake news e sandices.",279,1308405567459917825,2020-09-22 13:59:30,Twitter Web App,2731,648,"São Paulo, Brasil",,
30,"Sem citar governo de Bolsonaro, piloto participou de campanha da WWF, na qual diz que “queimadas são deliberadas, focadas no desmatamento, causam devastação generalizada e sofrimento inimaginável para as comunidades indígenas” https://t.co/Wxj97qm3rz",250,1306779326004822017,2020-09-18 02:17:24,TweetDeck,2491,663,Brasil,,
31,"&gt;@EstadaoEsporte Em vídeo, Lewis Hamilton faz campanha para conter queimadas na Amazônia https://t.co/zbYddg0Rvq",115,1306671764953427972,2020-09-17 19:10:00,TweetDeck,2124,259,São Paulo,,
32,Ricardo Salles culpa 'visão ideológica' por aumento de queimadas https://t.co/ekq8YAbzxA,88,1306660471458668544,2020-09-17 18:25:07,Zapier.com,688,160,Brasil,,
33,"“As queimadas destruíram roças, queimaram casas. Estamos muitos preocupado com as nossas matas porque é delas que retiramos o nosso sustento, as nossas medicações tradicionais. Com a queimada, tudo isso está comprometido. Tudo está acabando”, diz Alessandra Guató, do povo Guató.",279,1306651073181093890,2020-09-17 17:47:46,Twitter Web App,859,298,"São Paulo, Brasil",,
34,Bolsonaro ignora queimadas e desmatamento e diz que o Brasil está de 'parabéns' na questão ambiental: 'É o País que mais preserva o meio ambiente' https://t.co/eCREJ7Alcw,170,1306681831287222273,2020-09-17 19:50:00,TweetDeck,1122,237,São Paulo,,
35,"VÍDEO: ‘O tempo está se esgotando’, diz Hamilton em campanha contra queimadas na Amazônia https://t.co/K9aW6LlH5A",113,1306768002050916353,2020-09-18 01:32:24,Twitter Web App,581,171,"Sao Paulo, Brazil",,
36,"Brasil sofre inquérito da ONU pelas queimadas, desmatamentos e violações aos direitos humanos.",94,1306680684422074368,2020-09-17 19:45:26,Twitter for iPhone,1411,247,"ÜT: -23.542504,-46.657429",,
37,"O Ministro do Meio Ambiente @rsallesmma esteve ao vivo no @programapanico, falando a verdade sobre a Amazônia, o Pantanal, queimadas e outros assuntos.  Assista online no link: https://t.co/lyUjSj11am",200,1306659201649958912,2020-09-17 18:20:04,Twitter for iPhone,678,154,São Paulo - SP,,
38,"O Pantanal bateu o recorde histórico de queimadas para o mês de setembro, mas Bolsonaro disse que o Brasil está de parabéns no cuidado com o meio ambiente. É criminosa a forma como o presidente mente para o povo. O que o governo faz é um verdadeiro genocídio das nossas florestas.",280,1306702992180215809,2020-09-17 21:14:05,Twitter for iPhone,540,107,"Niterói, Brasil",,
39,Você tem ideia da dimensão das queimadas no Pantanal?  Essa imagem mostra os focos de incêndio na região da terra dos Guató apenas de julho a setembro. O fogo varreu a terra e o Parque Estadual do Encontro das Águas 👇🏽 https://t.co/JpZ44We3Cf,242,1306650082683564033,2020-09-17 17:43:50,Twitter Web App,164,82,"São Paulo, Brasil",,
40,"Recorde de queimadas, desmatamento, destruição de biomas, da fauna, da flora e Bolsonaro diz que Brasil está de “parabéns por preservação ambiental”?  É muito cinismo!",167,1306658937907929096,2020-09-17 18:19:02,Twitter for iPhone,788,148,"Brasil, Distrito Federal",,
41,"A Pública conversou com um agente do PrevFogo, do Sistema Nacional de Prevenção e Combate aos Incêndios Florestais, que não quis se identificar. Segundo o servidor, os monitoramentos meteorológicos já apontavam a intensificação das queimadas em 2020, mas governo demorou a agir.",278,1306651077572517890,2020-09-17 17:47:47,Twitter Web App,468,129,"São Paulo, Brasil",,
42,"Dados de satélites são a base para o combate ao desmatamento e queimadas, e devem ser públicos. O chefe do Conselho da Amazônia deveria saber que ciência se faz com transparência. #InimigoDoMeioAmbiente https://t.co/jrVezSZv9j",226,1306680430545055744,2020-09-17 19:44:26,TweetDeck,184,43,Brasil,,
43,Bolsonaro ignora queimadas e desmatamento e diz que o Brasil está de 'parabéns' na questão ambiental https://t.co/eCREJ7iKkY,124,1306732162884997122,2020-09-17 23:10:00,TweetDeck,143,36,São Paulo,,
44,"A Marinha, por meio do Navio-Transporte Fluvial “Almirante Leverger”, apoiou, ontem (16), o combate a um incêndio pontual na vegetação da região do Porto da Manga, a 75 quilômetros de Corumbá-MS. O incidente não tem relação com os focos anteriores de queimadas no Pantanal. https://t.co/IROmzAJEUy",297,1306719500599951360,2020-09-17 22:19:41,Twitter for iPhone,426,46,Brasil,,
45,"Ainda neste ano, o Inpe também registrou a maior taxa já contabilizada de focos de incêndio no bioma, foram 15.756 registrados https://t.co/tTwdGL1Djj",150,1306649778445574144,2020-09-17 17:42:38,Twitter Web App,77,20,"São Paulo, Brasil",,
